,OSM_id,Building_Height,Building_Volume,Roof_Area,Radiation
547,1004646815,6,346.141958,48.231564,18989.395397
548,1004646814,6,167.656442,25.572857,6702.139552
549,1004646813,6,670.658836,87.425368,34627.721018
550,1004646812,6,643.177733,79.094542,29042.604725
551,1004646811,6,364.835327,47.48605,18989.395397
552,1004646810,6,296.102957,36.838234,8936.186069
553,1004646809,6,555.003767,71.068691,27925.581466
554,1004646808,6,476.545416,62.269482,24574.51169
555,1004646807,6,453.387849,58.7388,48032.000122
556,1004646806,6,836.436316,105.186783,36861.767535
557,1004646805,6,139.142824,22.268347,6702.139552
558,1004646804,6,730.973637,89.254316,33510.697759
559,1004646803,6,210.964843,26.96139,6702.139552
560,1004646802,6,239.363957,31.429784,8936.186069
561,1004646801,6,200.814899,25.946149,6702.139552
562,1004646800,6,293.625315,38.458161,8936.186069
563,1004646799,6,226.874566,28.137077,6702.139552
564,1004646798,6,167.551808,22.390913,4468.093035
565,1004646797,6,259.375115,31.346496,10053.209328
566,1004646796,6,310.165306,39.076708,15638.325621
567,1004646795,6,553.582824,64.919128,33510.697759
568,1004646794,6,962.28871,101.940429,43563.907087
569,1004646793,6,483.562278,55.348494,16755.34888
570,1004646792,6,4958.579981,451.871198,163488.824355
571,1004646791,6,1813.589895,160.839141,58085.20945
572,1004646790,6,1591.781664,136.057616,45797.953605
573,1004646789,6,537.397698,42.8867,35718.778399
574,1004646788,6,1188.439232,105.174608,37452.245702
575,1004646787,21,73137.494589,1161.439674,435596.731307
576,1004646786,33,49962.099658,690.244427,281489.861179
577,1004646785,21,27965.078661,779.085679,262348.820133
578,1004646784,6,430.970614,37.909411,8936.186069
579,1004646783,6,5679.00044,414.404588,145338.879957
580,1004646782,6,506.649266,65.395778,29042.604725
581,1004646781,6,608.463592,70.592493,25691.534949
582,1004646780,6,422.637443,63.488602,24574.51169
583,1004646779,6,343.608544,43.260732,8936.186069
584,1004646778,6,370.63459,50.230336,17872.372138
585,1004646777,6,101.050304,14.077731,1117.023259
586,1004646776,6,416.930475,50.160169,31276.651242
587,1004646775,6,537.036417,68.901947,52500.093156
588,1004646774,6,436.16774,67.431237,23457.488432
589,1004646773,6,443.421508,61.977791,23457.488432
590,1004646772,6,86.441097,13.99539,4468.093035
591,1004646771,6,78.431698,12.537307,4468.093035
592,1004646770,6,325.137769,53.147077,11170.232586
593,1004646769,6,290.150692,47.663936,36861.767535
594,1004646768,6,255.715904,30.558701,8936.186069
595,1004646766,6,98.801671,16.051372,4468.093035
596,1004646765,6,263.032352,36.610829,16755.34888
597,1004646764,6,70.680922,10.579624,2234.046517
598,1004646763,6,170.978556,26.952506,8936.186069
599,1004646762,6,459.195009,58.400057,27925.581466
600,1004646761,6,331.20207,52.798052,44680.930346
