OSM_id Building_Height Building_Volume Roof_Area Radiation
1034875313 6 531.410885 46.6183 31275.299097
1034875312 6 673.843248 54.543383 31275.299097
1034875311 6 577.671728 48.377821 21324.067566
1034875310 6 977.987685 85.432108 48334.55315
1034875309 6 1008.555476 86.316393 42648.135132
1034875308 6 623.314641 51.94593 17059.254053
1034875307 6 798.336393 61.653321 29853.694592
1034875306 6 556.546617 46.964939 22745.67207
1034875305 6 982.248046 74.165456 34118.508106
1034875304 6 1126.869322 92.466614 51177.762159
1034875303 6 1058.407914 76.697431 39804.926123
1034875302 6 657.772627 59.36656 48334.55315
1034875301 6 940.006709 73.157413 46912.948645
1034875300 6 603.228956 50.7206 36961.717114
1034875299 6 600.730584 50.223467 14216.045044
1034875298 6 585.31639 52.299192 15637.649548
1033652243 6 751.608154 63.440481 46912.948645
1026813342 6 581.031352 50.515816 15637.649548
1026813341 6 1017.274606 76.093567 36961.717114
1026813340 6 839.468714 66.36882 31275.299097
1026813339 6 884.257778 68.052334 39804.926123
1026813338 6 565.352613 48.419279 22745.67207
1026813337 6 541.975908 49.235371 14216.045044
1026813336 6 924.777598 73.542755 35540.11261
1026813335 6 871.799481 72.289991 39804.926123
1026813334 6 773.596985 65.301756 24167.276575
1026813333 6 874.965138 72.678501 28432.090088
1026813332 6 694.94911 62.173773 27010.485584
1026813331 6 555.993837 50.382309 14216.045044
1026813330 6 627.307495 53.247145 28432.090088
1026813329 6 608.177331 50.760989 17059.254053
1026813328 6 648.775132 52.922057 17059.254053
1026813327 6 769.174739 63.778195 34118.508106
1026813326 6 517.133346 48.237199 22745.67207
1026813325 6 838.245193 76.97086 75345.038733
1026813324 6 796.174626 65.300687 25588.881079
1026813323 6 846.591689 70.085737 31275.299097
1026813322 6 672.315697 53.858618 25588.881079
1026813321 6 678.563107 60.420998 31275.299097
1026813320 6 679.120824 56.623262 32696.903601
1026813319 6 1017.220809 77.024246 32696.903601
1026813318 6 750.013974 56.473592 24167.276575
1026813317 6 735.378115 69.063462 45491.344141
1026813316 6 589.700633 50.42167 15637.649548
1026813315 6 1315.89469 91.507473 42648.135132
1026813314 6 500.674298 45.063316 12794.44054
1025935701 6 543.838088 48.428163 12794.44054
1024968306 6 862.927349 68.62934 29853.694592
1019972528 6 1442.492845 91.404279 45491.344141
1019900511 6 597.928183 50.451448 22745.67207
1019900510 6 576.287802 50.103945 21324.067566
1017596575 6 569.547331 51.662013 22745.67207
1014927400 6 1372.351377 95.726293 41226.530628
1014927399 6 577.834107 49.984093 15637.649548
1014927289 6 776.113125 59.127885 44069.739637
1014927288 6 934.104293 72.942429 34118.508106
1014927287 6 2040.600681 168.93956 81031.456751
1014927286 6 1169.466018 79.592991 44069.739637
1013823331 6 771.555644 71.910612 56864.180176
1013819404 6 599.828367 50.296472 14216.045044
1013712165 6 498.809157 44.627096 11372.836035
1013712164 6 722.418367 58.946258 22745.67207
1013690717 6 548.154714 49.05107 14216.045044
1013688260 6 883.618132 71.062563 27010.485584
1013688259 6 1005.86906 75.828775 35540.11261
1013688258 6 511.394297 44.886541 14216.045044
1013688257 6 1122.22695 77.457299 35540.11261
1013688256 6 903.821283 72.202468 28432.090088
